Phases,Date,Headline,URL,Type,What it Does,Author,Desk,Image,Notes,Updates,
30,3/26/2015,"Post-Sept. 11, Cockpits Are Built to Protect From Outside Threats",http://www.nytimes.com/2015/03/27/world/europe/post-sept-11-cockpits-are-harder-to-invade-but-easier-to-lock-up.html,Article,,"Jad Mouawad, Christopher Drew",Europe,Y / Graphic,,3/27/2015 12:2;3/26/2015 22:56;3/26/2015 21:34;,
29,3/26/2015,Inside Pilot's Mind,http://www.nytimes.com/2015/03/27/opinion/after-germanwings-plane-crash-pondering-pilot-psychology.html,Article,,Andrew B. McGree,Opinion,Y,,3/28/2015 12:51;3/27/2015 22:5;3/27/2015 10:12;3/26/2015 22:29;3/26/2015 20:59;,
28,3/26/2015,Suicide by Plane Crash Is Rare but Not Without Precedent,http://www.nytimes.com/2015/03/27/world/europe/few-precedents-are-seen-as-germanwings-investigation-points-to-deliberate-crash.html,Article,,Erica Goode,Europe,N,,3/26/2015 22:6;3/26/2015 21:18;3/26/2015 20:24;,
27,3/26/2015,Have Recent Plane Crashes Affected Your Decision to Fly?,http://www.nytimes.com/2015/03/26/world/europe/have-recent-plane-crashes-affected-your-decision-to-fly.html,Article,,The New York Times,Europe,Y,,3/26/2015 16:35;,
26,3/26/2015,A History of Crashes Caused by Pilots’ Intentional Acts,http://www.nytimes.com/interactive/2015/03/26/world/history-plane-crashes-pilots.html,Article,,Shreeya Sinha,Graphics,Y,multiple articles,03/26/2015 04:19:30 PM;03/27/2015 11:37:48 AM;03/27/2015 11:38:19 AM;03/27/2015 11:42:59 AM;03/30/2015 11:45:58 AM;04/18/2015 03:13:56 PM;04/18/2015 03:17:18 PM;04/18/2015 03:19:12 PM;04/18/2015 03:38:39 PM;07/20/2015 12:50:10 PM;,
25,3/26/2015,Reducing Risks After the Germanwings Crash,http://www.nytimes.com/2015/03/27/opinion/reducing-risks-after-the-germanwings-crash.html,Article,,The Editorial Board,Opinion,Y,,3/26/2015 21:37;3/26/2015 16:22;3/26/2015 16:0;3/26/2015 15:25;3/26/2015 15:2;,
,,,,,,,,,,,
24,3/26/2015,"Andreas Lubitz, Who Loved to Fly, Ended Up on a Mysterious and Deadly Course",http://www.nytimes.com/2015/03/27/world/europe/andreas-lubitz-germanwings-co-pilot-showed-no-warning-signs-before-crash-airline-says.html,Article,,"Jack Ewing, Melissa Eddy",Europe,Y,,4/4/2015 12:27;3/31/2015 11:30;3/26/2015 22:53;3/26/2015 22:28;3/26/2015 21:19;3/26/2015 17:10;3/26/2015 15:5;3/26/2015 13:4;,
23,3/26/2015,"Fatal Descent of Germanwings Plane Was ‘Deliberate,’ French Authorities Say",http://www.nytimes.com/2015/03/27/world/europe/germanwings-crash.html,Article,,"Dan Bilefsky, Nicola Clark",Europe,Y,,3/27/2015 7:14;3/27/2015 5:2;3/26/2015 22:53;3/26/2015 21:45;3/26/2015 17:51;3/26/2015 16:0;3/26/2015 14:37;3/26/2015 12:43;3/26/2015 10:6;3/26/2015 7:50;3/26/2015 7:31;3/26/2015 5:28;3/26/2015 5:9;3/26/2015 4:49;3/26/2015 4:30;,
22,3/26/2015,Germanwings Crash: How the Lock on the Cockpit Door Works,http://www.nytimes.com/interactive/2015/03/26/world/europe/germanwings-cockpit-door-lock.html,Article / graphic,,,Europe,Y / Graphic,multiple articles,03/26/2015 12:44:30 PM;03/26/2015 12:48:51 PM;03/26/2015 12:49:52 PM;03/26/2015 12:50:12 PM;03/26/2015 07:37:54 PM;03/26/2015 07:41:07 PM;03/26/2015 07:45:17 PM;03/26/2015 08:08:18 PM;03/26/2015 08:08:46 PM;03/26/2015 08:08:57 PM;03/26/2015 08:15:32 PM;03/26/2015 08:54:45 PM;03/26/2015 09:07:37 PM;03/26/2015 09:07:48 PM;03/26/2015 09:34:06 PM;03/26/2015 09:34:38 PM;03/27/2015 12:10:29 PM;07/20/2015 12:49:41 PM;,
21,3/26/2015,Associates Offer Details About Co-Pilot,http://www.nytimes.com/video/world/europe/100000003595191/associates-offer-details-about-co-pilot.html,Multimedia,,,Video,Y,,08/28/2015 02:02:08 PM;08/27/2015 07:25:43 PM;03/26/2015 07:34:47 PM;03/26/2015 07:34:15 PM;03/26/2015 03:17:00 PM;03/26/2015 01:13:52 PM;03/26/2015 01:02:27 PM;03/26/2015 12:41:56 PM;03/26/2015 12:38:18 PM,
20,3/26/2015,Prosecutor: Co-Pilot Crashed Plane,http://www.nytimes.com/video/world/europe/100000003594812/prosecutor-co-pilot-crashed-plane.html,Multimedia,,,Video,Y,,08/28/2015 02:01:29 PM;08/27/2015 07:26:34 PM;03/26/2015 04:57:59 PM;03/26/2015 03:02:08 PM;03/26/2015 03:00:39 PM;03/26/2015 03:00:39 PM;03/26/2015 10:13:37 AM;03/26/2015 10:04:57 AM;03/26/2015 10:04:33 AM;03/26/2015 10:03:58 AM;03/26/2015 10:00:38 AM;03/26/2015 09:46:31 AM,
19,,,,,,,,,,,
